Entity,Code,Year,Historical price of memory,Historical price of flash memory,Historical price of disk drives,Historical price of solid-state drives
World,OWID_WRL,1957,3786967000000000,,,
World,OWID_WRL,1959,603280640000000,,67477360000,
World,OWID_WRL,1960,45880510000000,,31503645000,
World,OWID_WRL,1965,21704915000000,,,
World,OWID_WRL,1970,4892935600000,,1731185200,
World,OWID_WRL,1973,2327901600000,,1513812400,
World,OWID_WRL,1974,1651140100000,,971034000,
World,OWID_WRL,1975,240071620000,,889688500,
World,OWID_WRL,1976,104782720000,,,
World,OWID_WRL,1977,98385980000,,,
World,OWID_WRL,1978,60305523000,,,
World,OWID_WRL,1979,23907269000,,659732200,
World,OWID_WRL,1980,20351056000,,581010050,
World,OWID_WRL,1981,12749707000,,526588640,
World,OWID_WRL,1982,5310322700,,496166530,
World,OWID_WRL,1983,5145041400,,311560860,
World,OWID_WRL,1984,3315175000,,93426150,
World,OWID_WRL,1985,720613060,,75532904,
World,OWID_WRL,1986,447454300,,43564812,
World,OWID_WRL,1987,302942900,,34090570,
World,OWID_WRL,1988,291073660,,21812290,
World,OWID_WRL,1989,236176510,,15623316,
World,OWID_WRL,1990,90127496,,6475771,
World,OWID_WRL,1991,75538730,,5305764,
World,OWID_WRL,1992,48417580,,2581349,
World,OWID_WRL,1993,47029436,,1285968.9,
World,OWID_WRL,1994,45834332,,756436.25,
World,OWID_WRL,1995,44583576,,363201,
World,OWID_WRL,1996,8662792,,210547.08,
World,OWID_WRL,1997,3476658.2,,78017.58,
World,OWID_WRL,1998,1339636.6,,39444.86,
World,OWID_WRL,1999,1213723.6,,13730.564,
World,OWID_WRL,2000,1045032.9,,6119.577,
World,OWID_WRL,2001,215708.97,,3785.6985,
World,OWID_WRL,2002,192163.72,,1750.5924,
World,OWID_WRL,2003,107166.31,269289.7,1055.0634,
World,OWID_WRL,2004,104372.016,262268.12,834.98285,
World,OWID_WRL,2005,100947.14,100921.24,538.3847,
World,OWID_WRL,2006,93398.016,18793.69,280.8012,
World,OWID_WRL,2007,30443.912,9139.2705,249.62117,
World,OWID_WRL,2008,11736.141,2200.7112,120.196144,
World,OWID_WRL,2009,11778.016,1950.4845,84.4339,
World,OWID_WRL,2010,11587.969,1412.2747,53.410732,
World,OWID_WRL,2011,5897.578,1158.3726,42.180378,
World,OWID_WRL,2012,4126.761,653.2789,41.32522,
World,OWID_WRL,2013,4067.1836,508.39658,40.72861,694.31946
World,OWID_WRL,2014,4002.2583,366.16135,38.26366,409.94592
World,OWID_WRL,2015,3997.5159,158.12556,30.935,272.9443
World,OWID_WRL,2016,2961.1106,156.15555,29.870235,219.02322
World,OWID_WRL,2017,2899.351,152.89864,26.396421,214.45508
World,OWID_WRL,2018,2830.2207,,24.087029,107.34549
World,OWID_WRL,2019,2779.844,,18.981298,80.13651
World,OWID_WRL,2020,2745.97,,16.25,74.99
World,OWID_WRL,2021,2477.3096,,15.520852,71.62515
World,OWID_WRL,2022,1861.9323,,12.63745,39.796032
World,OWID_WRL,2023,1088.4369,,10.617405,25.906467
World,OWID_WRL,1956,,,87592750000,
World,OWID_WRL,1964,,,29360284000,
World,OWID_WRL,1966,,,8350479000,
